cm,CU,
3.73827981930334,1.03357426736647,
3.77746172053499,1.03401850318997,
3.81664362176664,1.03234647379692,
3.85582552299828,1.03494576810976,
3.89500742422993,1.03491270009712,
3.93418932546158,1.03532187457992,
3.97337122669323,1.03425000972302,
4.01255312792487,1.03341614249487,
4.05173502915652,1.03406265732211,
4.09091693038817,1.03420158975461,
4.13009883161981,1.03485555279747,
4.16928073285146,1.03556716123712,
4.20846263408311,1.03535358993251,
4.24764453531475,1.03491768182299,
4.2868264365464,1.03469832753832,
4.32600833777805,1.03499288426068,
4.36519023900969,1.03570122755544,
4.40437214024134,1.0355415270275,
4.44355404147299,1.03524634581749,
4.48273594270464,1.03494912002176,
4.52191784393628,1.03493377225509,
4.56109974516793,1.03601130726578,
4.60028164639958,1.03685102758004,
4.63946354763122,1.0360260875187,
4.67864544886287,1.03660900942329,
4.71782735009452,1.03780834593055,
4.75700925132616,1.03628157844857,
4.79619115255781,1.03587790536715,
4.83537305378946,1.03645598670933,
4.8745549550211,1.03688885413622,
4.91373685625275,1.03697987174443,
4.9529187574844,1.03644850453618,
4.99210065871605,1.03650230979938,
5.03128255994769,1.03690799312726,
5.07046446117934,1.03725592271404,
5.10964636241099,1.03674255564154,
5.14882826364263,1.03575632689345,
5.18801016487428,1.03588693367341,
5.22719206610593,1.03667101386535,
5.26637396733757,1.03537016927385,
5.30555586856922,1.03473416420318,
5.34473776980087,1.03507945455102,
5.38391967103251,1.03432481966793,
5.42310157226416,1.03387354356957,
5.46228347349581,1.03410106105791,
5.50146537472746,1.03451103270285,
5.5406472759591,1.03513975230555,
5.57982917719075,1.03430410371954,
5.6190110784224,1.03357565299359,
5.65819297965404,1.03319505722806,
5.69737488088569,1.03296405299725,
5.73655678211733,1.03237585290243,
5.77573868334898,1.03170692185097,
5.81492058458063,1.03125029328218,
5.85410248581228,1.03161019739234,
5.89328438704392,1.03219038526592,
5.93246628827557,1.03019775182585,
5.97164818950722,1.02916453536618,
6.01083009073887,1.02982899286109,
6.05001199197051,1.02997705867315,
6.08919389320216,1.02888262383774,
6.1283757944338,1.02836746982434,
6.16755769566545,1.02850203111299,
6.2067395968971,1.02763081106898,
6.24592149812874,1.02585003282159,
6.28510339936039,1.02490642807232,
6.32428530059204,1.02398760729914,
6.36346720182369,1.0228092319996,
6.40264910305533,1.02212330047328,
6.44183100428698,1.02239571628027,
6.48101290551863,1.0221841743359,
6.52019480675027,1.02098271319276,
6.55937670798192,1.01918784765487,
6.59855860921357,1.01783757398902,
